"","genus","family","order","class"
"162","Holoaden","Strabomantidae","Anura","Amphibia"
"163","Bryophryne","Strabomantidae","Anura","Amphibia"
"164","Barycholos","Strabomantidae","Anura","Amphibia"
"165","Dischidodactylus","Strabomantidae","Anura","Amphibia"
"166","Geobatrachus","Strabomantidae","Anura","Amphibia"
"167","Paramophrynella","Strabomantidae","Anura","Amphibia"
"168","Niceforonia","Craugastoridae","Anura","Amphibia"
"169","Mucubatrachus","Craugastoridae","Anura","Amphibia"
"170","Strabomantis","Eleutherodactylidae","Anura","Amphibia"
"171","Craugastor","Eleutherodactylidae","Anura","Amphibia"
"172","Haddadus","Eleutherodactylidae","Anura","Amphibia"
"173","Eleutherodactylus","Eleutherodactylidae","Anura","Amphibia"
"174","Diasporus","Brachycephalidae","Anura","Amphibia"
"175","Adelophryne","Brachycephalidae","Anura","Amphibia"
"176","Phyzelaphryne","Ceuthomantidae","Anura","Amphibia"
"177","Ischnocnema","Hemiphractidae","Anura","Amphibia"
"178","Brachycephalus","Hemiphractidae","Anura","Amphibia"
"179","Ceuthomantis","Hemiphractidae","Anura","Amphibia"
"180","Gastrotheca","Hemiphractidae","Anura","Amphibia"
"181","Fritziana","Hemiphractidae","Anura","Amphibia"
"182","Stefania","Hemiphractidae","Anura","Amphibia"
"183","Flectonotus","Dendrobatidae","Anura","Amphibia"
"184","Cryptobatrachus","Dendrobatidae","Anura","Amphibia"
"185","Hemiphractus","Dendrobatidae","Anura","Amphibia"
"186","Hyloxalus","Dendrobatidae","Anura","Amphibia"
"187","Ranitomeya","Dendrobatidae","Anura","Amphibia"
"188","Andinobates","Dendrobatidae","Anura","Amphibia"
"189","Excidobates","Dendrobatidae","Anura","Amphibia"
"190","Oophaga","Dendrobatidae","Anura","Amphibia"
"191","Dendrobates","Dendrobatidae","Anura","Amphibia"
"192","Adelphobates","Dendrobatidae","Anura","Amphibia"
"193","Minyobates","Dendrobatidae","Anura","Amphibia"
"194","Phyllobates","Dendrobatidae","Anura","Amphibia"
"195","Colostethus","Dendrobatidae","Anura","Amphibia"
"196","Ameerega","Dendrobatidae","Anura","Amphibia"
"197","Silverstoneia","Dendrobatidae","Anura","Amphibia"
"198","Epipedobates",NA,NA,NA
"199","Aromobates",NA,NA,NA
"200","Mannophryne",NA,NA,NA
"201","Anomaloglossus","Dendrobatidae","Anura","Amphibia"
"202","Rheobates","Dendrobatidae","Anura","Amphibia"
"203","Allobates","Dendrobatidae","Anura","Amphibia"
"204","Uperoleia","Myobatrachidae","Anura","Amphibia"
"205","Spicospina","Myobatrachidae","Anura","Amphibia"
"206","Pseudophryne","Myobatrachidae","Anura","Amphibia"
"207","Arenophryne","Myobatrachidae","Anura","Amphibia"
"208","Metacrinia","Myobatrachidae","Anura","Amphibia"
"209","Myobatrachus","Myobatrachidae","Anura","Amphibia"
"210","Crinia","Myobatrachidae","Anura","Amphibia"
"211","Geocrinia","Myobatrachidae","Anura","Amphibia"
"212","Assa","Myobatrachidae","Anura","Amphibia"
"213","Paracrinia","Myobatrachidae","Anura","Amphibia"
"214","Taudactylus","Myobatrachidae","Anura","Amphibia"
"215","Mixophyes","Myobatrachidae","Anura","Amphibia"
"216","Rheobatrachus","Rheobatrachidae","Anura","Amphibia"
"217","Limnodynastes","Myobatrachidae","Anura","Amphibia"
"218","Philoria","Myobatrachidae","Anura","Amphibia"
"219","Adelotus","Myobatrachidae","Anura","Amphibia"
"220","Lechriodus","Myobatrachidae","Anura","Amphibia"
"221","Platyplectrum","Myobatrachidae","Anura","Amphibia"
"222","Neobatrachus","Myobatrachidae","Anura","Amphibia"
"223","Heleioporus","Myobatrachidae","Anura","Amphibia"
"224","Notaden","Myobatrachidae","Anura","Amphibia"
"225","Telmatobufo","Calyptocephalellidae","Anura","Amphibia"
"226","Calyptocephalella","Calyptocephalellidae","Anura","Amphibia"
"227","Chiromantis","Rhacophoridae","Anura","Amphibia"
"228","Rhacophorus","Rhacophoridae","Anura","Amphibia"
"229","Theloderma","Rhacophoridae","Anura","Amphibia"
"230","Feihyla","Rhacophoridae","Anura","Amphibia"
"231","Pseudophilautus","Rhacophoridae","Anura","Amphibia"
"232","Mercurana","Rhacophoridae","Anura","Amphibia"
"233","Raorchestes","Rhacophoridae","Anura","Amphibia"
"234","Kurixalus","Rhacophoridae","Anura","Amphibia"
"235","Polypedates","Rhacophoridae","Anura","Amphibia"
"236","Taruga","Rhacophoridae","Anura","Amphibia"
"237","Ghatixalus","Rhacophoridae","Anura","Amphibia"
"238","Gracixalus","Rhacophoridae","Anura","Amphibia"
"239","Gracilixalus","Rhacophoridae","Anura","Amphibia"
"240","Nyctixalus","Rhacophoridae","Anura","Amphibia"
"241","Philautus","Rhacophoridae","Anura","Amphibia"
"242","Beddomixalus","Rhacophoridae","Anura","Amphibia"
"243","Liuixalus","Rhacophoridae","Anura","Amphibia"
"244","Dendrobatorana","Mantellidae","Anura","Amphibia"
"245","Buergeria","Mantellidae","Anura","Amphibia"
"246","Gephyromantis","Mantellidae","Anura","Amphibia"
"247","Mantidactylus","Mantellidae","Anura","Amphibia"
"248","Boehmantis","Mantellidae","Anura","Amphibia"
"249","Spinomantis","Mantellidae","Anura","Amphibia"
"250","Guibemantis","Mantellidae","Anura","Amphibia"
"251","Blommersia","Mantellidae","Anura","Amphibia"
"252","Mantella","Mantellidae","Anura","Amphibia"
"253","Wakea","Mantellidae","Anura","Amphibia"
"254","Tsingymantis","Mantellidae","Anura","Amphibia"
"255","Boophis","Mantellidae","Anura","Amphibia"
"256","Aglyptodactylus","Ranidae","Anura","Amphibia"
"257","Laliostoma","Ranidae","Anura","Amphibia"
"258","Rana","Ranidae","Anura","Amphibia"
"259","Odorrana","Ranidae","Anura","Amphibia"
"260","Babina","Ranidae","Anura","Amphibia"
"261","Hylarana","Ranidae","Anura","Amphibia"
"262","Pterorana","Ranidae","Anura","Amphibia"
"263","Glandirana","Ranidae","Anura","Amphibia"
"264","Sanguirana","Ranidae","Anura","Amphibia"
"265","Rugosa","Ranidae","Anura","Amphibia"
"266","Pelophylax","Ranidae","Anura","Amphibia"
"267","Amolops","Ranidae","Anura","Amphibia"
"268","Meristogenys","Ranidae","Anura","Amphibia"
"269","Huia","Ranidae","Anura","Amphibia"
"270","Clinotarsus","Dicroglossidae","Anura","Amphibia"
"271","Staurois","Dicroglossidae","Anura","Amphibia"
"272","Fejervarya","Dicroglossidae","Anura","Amphibia"
"273","Sphaerotheca","Dicroglossidae","Anura","Amphibia"
