"genus","family","order","class","phylum"
"Baileya","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Psilostrophe","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Plateilema","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Marshallia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Psathyrotes","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Trichoptilium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Pelucha","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Neurolaena","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Pectis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Porophyllum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Jamesianthus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Boeberastrum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Nicolletia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Chrysactinia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Tagetes","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Adenopappus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Hydropectis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Urbinella","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Leucactinia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Bajacalia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Clappia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Thymophylla","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Strotheria","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Adenophyllum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Dysodiopsis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Gymnolaena","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Boeberoides","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Dyssodia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Comaclinium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Schizotrichia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Oxypappus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Pseudoclappia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Flaveria","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Sartwellia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Haploesthes","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Jaumea","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Varilla","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Coulterella","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Espeletia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Espeletiopsis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Coespeletia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Ruilopezia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Libanothamnus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Tamania","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Carramboa","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Paramiflos","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Ichthyothere","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Smallanthus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Polymnia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Sigesbeckia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Axiniphyllum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
